,1,2,3,4,5,6,7,8
char_count,0.8122,0.6893,0.7264,0.7656,0.84,0.6984,0.6893,0.4734
word_count,0.7828,0.6648,0.7171,0.7585,0.8333,0.6848,0.6759,0.4135
sent_count,0.6833,0.643,0.5991,0.6618,0.6996,0.6023,0.6565,0.5326
avg_word_len,0.3658,0.2935,0.2369,0.229,0.4507,0.2593,0.2793,0.4041
spell_err_count,0.2397,-0.0458,0.2741,0.311,0.2624,0.051,0.244,-0.0366
noun_count,0.7833,0.6513,0.6875,0.7339,0.7976,0.6333,0.6617,0.4176
adj_count,0.706,0.6151,0.5869,0.6414,0.6583,0.6763,0.5952,0.4483
verb_count,0.7121,0.6299,0.676,0.7136,0.7674,0.6201,0.6529,0.3526
adv_count,0.6099,0.5475,0.5282,0.5197,0.6299,0.5898,0.5459,0.3424
readability_score,-0.2316,-0.2738,-0.1668,-0.0839,-0.2909,-0.2564,0.0533,-0.1031
punctuation_score,0.2988,0.2273,0.2395,0.346,0.3984,0.2435,0.3123,0.3873
vocabulary_richness,-0.2438,-0.3784,-0.4546,-0.613,-0.5605,-0.375,-0.3739,0.0056
complex_sentence_ratio,-0.0957,-0.1599,-0.0279,-0.2136,0.043,0.0382,-0.2318,-0.1782
clause_density,-0.0045,-0.0418,0.1771,0.1146,0.2812,0.1038,-0.1363,-0.1505
semantic_coherence,-0.2733,-0.1302,0.0252,0.1854,0.055,-0.0443,-0.1236,-0.3006
sentiment_subjectivity,0.0834,0.017,-0.0082,0.1709,-0.0882,0.0839,0.0228,0.0366
transitional_phrase_use,0.1746,0.2064,0.1733,0.1741,0.1964,0.1951,0.1816,0.1487
figurative_language_use,-0.1093,-0.1452,0.0658,0.1397,-0.0128,0.0683,0.0333,-0.001
question_usage,0.2905,0.2062,0.0022,0.0662,-0.0041,-0.0119,0.1762,0.0923
