feature,group,feat_rho,asap2_rho,dysf_rho
char_count,length_fluency,0.3851,0.7185,0.2326
word_count,length_fluency,0.3715,0.7151,0.2214
sent_count,length_fluency,0.3516,0.6163,0.3557
avg_word_len,lexical_sophistication,0.2916,0.2229,0.193
spell_err_count,mechanics,0.1057,0.1008,0.1797
noun_count,syntactic_complexity,0.406,0.6654,0.2005
adj_count,lexical_sophistication,0.3617,0.6212,0.1651
verb_count,syntactic_complexity,0.3287,0.6804,0.2105
adv_count,lexical_sophistication,0.2925,0.5869,0.2217
readability_score,coherence_readability,0.2,0.1568,0.1218
punctuation_score,mechanics,0.2996,0.1943,0.1879
vocabulary_richness,lexical_sophistication,0.2117,0.5244,0.0118
complex_sentence_ratio,syntactic_complexity,0.1709,0.0531,0.1392
clause_density,syntactic_complexity,0.0264,0.0892,0.2225
semantic_coherence,coherence_readability,0.0141,0.0129,0.2291
sentiment_subjectivity,rhetoric_engagement,0.0174,0.0044,0.0561
transitional_phrase_use,rhetoric_engagement,0.1865,0.1998,0.1449
figurative_language_use,rhetoric_engagement,0.0428,0.0932,0.0879
question_usage,rhetoric_engagement,0.0414,0.1378,0.0891
